Aaliyah	Arabic, Hebrew	high exalted, to ascend
Clara		Bright and famous. Also See Clarice.
Clarabelle	Latin/French	Bright and beautiful. From Clan and Belle.
Clare	Latin	Bright and famous. The name of an Irish county. Also See Clarice.
Clarice	French from Latin	The little brilliant one. Also See Clue.
Clarinda		Bright and famous. Also See Clarice.
Clarine		Bright and famous. Also See Clarice.
Clarissa		Brilliant.
Claudia	Latin	The lame one. The feminine form of Claude.
Clematis	Greek	A climbing plant. A flower name.
Clemence	Latin	Mild, merciful.
Clementine		Merciful.
Cleo		Glory of the father. The queen of Egypt from 47-30 BC.
Cleomenes		From Shakespeare's play Winter's Tale.
Cleopatra	Greek	Glory of the father. The queen of Egypt from 47-30 BC.
Cleta		Glory of the father.
Cleva	Old English	From the cliff. Feminine form of Clive.
Cliantha	Greek	A glorious flower.
Clio	Greek	The glorious one. The muse of history in Greek mythology. Also see Cleopatra.
Clodagh	Irish	From the name of a river.
Clodia		The lame one. The feminine form of Claude.
Clorinda	Persian	Of renowned beauty.
Cloris		A plant lover.
Clotilda	Teutonic	Famous battle maiden.
Clove		A nail.
Clover	Old English	A flower name.
Clymene	Greek	Renowned.
Cochiti	Spanish	forgotten
Cody	Old English	A pillow or cushion. A boy or girl's name.
Colenso	Cornish	From the dark pool.
Colette	French	The people's victory. The feminine form of Nicholas.
Colleen	Irish Gaelic	A girl.
Colletta		The people's victory. The feminine form of Nicholas.
Collette		The people's victory. The feminine form of Nicholas.
Columba	Latin	Dove-like. The name of a 6th-century Irish saint. Also see Calum and Coleman. A boy or girl's name.
Columbia	Old English	a dove
Columbine		A flower name. Also see Columba.
Concepcion	Latin/Spanish	Latin: The beginning. Spanish: A name that relates to the Virgin Mary's Immaculate Conception.
Concordia	Latin	The harmonious one.
Conncetta	Conny	
Connie		Steadfast, constant.
Constance	Latin	Steadfast, constant.
Consuela	Latin	The consoler or comforter.
Consuelo	Spanish	Consolation.
Coorah	Aboriginal	A woman.
Cora	Greek	A maiden.
Corabelle		A combination of Con and Belle, meaning a beautiful maiden.
Coral	Latin	From the sea.
Coralia	Greek	Like coral.
Coralie		Little maiden.
Corazon	Spanish	The heart. Often used in the Philippines.
Corbin		A raven.
Cordelia	Celtic	A jewel of the sea.
Coreen	Aboriginal	The end of the hills.
Corentine		Little Cora.
Corey	Celtic/Gaelic	Dweller in the hollow. A boy or girl's name.
Corin	Cornish/Latin	Cornish: From the corner. Latin: The name of a Roman deity, possibly meaning a spear. Also from Shakespeare's play As You Like It. A boy or girl's name.
Corina		A maiden.
Corinda	Cori	
Corine		A maiden.
Corinna		A maiden.
Corinne		A maiden.
Corliss	Old English	The cheerful one.
Cornelia	Latin	A horn. The feminine form of Cornelius.
Cornelian		The name of a gemstone. A boy or girl's name.
Corona	Latin	A town.
Corowa	Aboriginal	A rocky river.
Corrine		A maiden.
Cory		Helmet. A boy or girl's name.
Cosette		Victorious people.
Cosima	Greek	Perfect order.
Cossette	French	Of the victorious.
Courtney	Old French	The short-nosed one, or frons a placename. A boy or girl's name.
Crescent	Old French	one who creates
Cressida	Greek	The golden one. A Shakespearian character.
Crisiant	Welsh	Like a crystal. A boy or girl's name.
Crispina	Latin	The curly-haired one. Feminine form of Crispin.
Cristin		A follower of Christ, a Christian.
Cristina		A follower of Christ, a Christian.
Cristine		A follower of Christ, a Christian.
Cristiona	Irish Gaelic	A follower of Christ, a Christian.
Cristy		Bearing Christ. From the name Christopher.
Crystal	Greek	Clear as ice. A gemstone name.
Curissa		
Cuyler	Celtic	chapel
Cybele	French	The prophetess. From Greek mythology.
Cybil		The prophetess. From Greek mythology.
Cybill		The prophetess. From Greek mythology.
Cynara	Greek	thistle
Cyndi		Of the moon.
Cynere	Greek	An artichoke or thistle.
Cynthia	Greek	Of the moon. An alternative name for the Greek moon goddess, Artemis.
Cypriana	Greek	A woman from Cyprus.
Cyprien	French	cypriot
Cyrena	Greek	A woman from Cyrene, an ancient Greek colony in North Africa.
Cyrene	Greek	name of a mythological nymph
Cyrilla	Greek	Lordly or proud one. Feminine form of Cyril.
Cytheria	Latin	venus
Cyzarine	Russian	royalty
Daba	Hebrew	kind words, bee swarm
Dabria	Latin	name of an angel
Dacey	Gaelic	The southerner. A boy or girl's name.
Dacia	Greek	A woman from Dacia, an ancient European country.
Dacio	French	from arcy
Dade	unknown	
Dae	Korean	Greatness.
Daffodil	English from Greek	The asphodel. A flower name.
Dagmar	Old Norse	A maiden of the day, or glorious day.
Dagna	Old Norse	A new day.
Dagny	Norwegian	day, brightness, new day, Dane's joy
Dahlia	English	From the flower, named after the Swedish botanist, Dahl.
Dai	Welsh/Japanese	Welsh: The beloved, the adored one. Japanese: Great. A boy or girl's name.
Daisy	Old English	The day's eye. A flower name. Also a nickname from Margaret.
Dakin	Danish	Danish
Daksha	Hindu	
Dale	Teutonic/Old English	A valley dweller. A boy or girl's name.
Dalia		A branch, bough.
Dalila	Swahili	Gentle.
Dallas	Celtic	Skilled, or from the field of water. Also a city in Texas. A boy or girl's name.
Damalis	Greek	one who gentles
Damara	Greek	gentle girl
Damaris	Greek	Gentle. A New Testament name.
Dame	German	lady
Damiana	Greek	Tame, domesticated. The feminine form of Damian/Damon.
Damini	Hindu	lightning
Damita	Spanish	The little noble lady.
Damosel	Old English	A damsel, or young unmarried woman.
Dana	Old English/Czech	Old English: From Denmark. Czech: God is my judge. A boy or girl's name.
Danae	Greek	The mother of Perseus in Greek mythology.
Dani		My judge.
Danica	Slavic	the morning star
Daniela		God is my judge.
Danielle	Hebrew	God is my judge. The feminine form of Daniel.
Danika	Slavonic	The morning star.
Dannell		
Danniell		God is my judge.
Danu	Gaelic	The goddess of fruitfulness.
Danuta	Polish	A little deer. Also see Dana.
Daphne	Greek	The laurel. In Greek mythology, the name of a nymph who was transformed into a Laurel tree.
Dara	Irish Gaelic/Hebrew	Irish: A son of oak. Hebrew: Compassion, wisdom. A boy or girl's name.
Daralis	Old English	beloved
Daray	unknown	dark
Darby	Irish Gaelic/Middle English	Irish Gaelic: Free from envy. Middle English: The deer settlement. A boy or girl's name.
Darcie	Old French	An old Norman family name.
Daria	Greek	Wealthy. The feminine form of Darius.
Darinka	Slowenian	
Darlene	English from Old French	The little darling, the beloved one. Also see Darrelle.
Darra	Gaelic, Farsi	small great one, riches
Darrelle	Old French	The beloved one. The feminine form of Darrell. Also see Darlene.
Darrene	English	The Great one. The feminine form of Darren.
Darri	Aboriginal	A track.
Dasha	Greek	gift of god
Davan	Irish	The beloved, the adored one. Feminine form of David.
Davida		The beloved, the adored one. Feminine form of David.
Davina	Hebrew	The beloved one. The feminine form of David. Also see Vida.
Davine	Hebrew	the loved
Dawa	Tibetan/Sherpa	Born on a Monday. A boy or girl's name.
Dawn	English	Daybreak, dawn.
Daya	Hebrew	bird
Dayla	Hebrew	to draw water, branch or bough
Dayle		A valley dweller. A boy or girl's name.
Deana		The divine one. The goddess of hunting and the moon in Roman mythology. Also feminine forms of Dean.
Deanna		The divine one. The goddess of hunting and the moon in Roman mythology. Also feminine forms of Dean.
Deanne		The divine one. The goddess of hunting and the moon in Roman mythology. Also feminine forms of Dean.
Debbie		The bee, an industrious woman.
Debby		The bee, an industrious woman.
Deborah	Hebrew	The bee, an industrious woman. A biblical name.
Debra		The bee, an industrious woman.
Dechen	Tibetan/Sherpa	Health and happiness.
Decima	Latin	The tenth.
Dee		From the name Audrey, Deirdre, Delia, Diana. Audrey - Strong and noble, regal. Deirdre - Sorrow. Delia - A woman from the island of Delos. Diana - The divine one.
Deena	Hindu	
Deepali	Hindu	
Deepika	Hindu	a little light
Deepti	Hindu	
Deeta		The lost one.
Deianira	Greek	wife of heracles
Deidra		Sorrowful, wanderer.
Deiene	Basque	religious holiday
Deion		
Deiondre		Valley.
Deirdre	Celtic	Sorrow. The name of a character from Irish legend.
Deja	French	before
Delanna	Italian	soft as wool
Delbin	Greek	dolphin, flower name
Delcine		Sweet.
Delfina		Dolphin.
Delia	Greek	A woman from the island of Delos. Also another name for Artemis, the Greek moon goddess. Also See Cordelia and Della.
Delicia	Latin	Delight.
Delila		Hair or poor.
Delilah	Hebrew	The beautiful temptress. The lover of Samson in the Bible.
Dell	English	From the dell or hollow. A boy or girl's name.
Della	English	A woman from the island of Delos. Probably derived from Delia or Delilah and Ella. Also a diminutive of Adele and Adelaide.
Delma	Spanish	Of the sea.
Delphine	Latin	A woman from Delphi or a flower name from delphinium.
Delta	Greek	The fourth, as in fourth child.
Delvene		A woman from Delphi or a flower name from delphinium.
Delvine		A woman from Delphi or a flower name from delphinium.
Delwyn	Old English/Welsh	Old English: A friend from the valley. Welsh: Neat and fair. A boy or girl's name.
Delyth	Welsh	Neat and pretty.
Dembe	Ugandan	peace
Demelza	Cornish	From a placename. The heroine of Winston Graham's Poldark novels.
Demetria	Greek	From the goddess of fertility.
Demi	Latin	Half. Also see Demetria.
Dena	Old English	From the valley. Feminine form of Dean.
Denise	French from Greek	A lover of wine. The feminine form of Denis/Dennis.
Dep	Vietnamese	beautiful
Derica		Beloved leader.
Derryth	Welsh	Of the Oak.
Dervla	Irish Gaelic	The daughter of the poet.
Desana		Longed for.
Desdemona	Greek	Ill-fated. A Shakespearian character murdered by her husband Othello.
Desiree	Latin	The desired one.
Desma	Greek	A pledge.
Despina	Greek	
Desta	Ethiopian	Happiness.
Destinee	French	destiny
Destry	French	war horse
Deva		Celestial spirit.
Devaki	Hindu	black, mother of Krishna
Devi	Breton/Sanskrit	Breton: The beloved, the adored one. Sanskrit: Godlike, a goddess. A boy or girl's name.
Devika	Sanskrit	A little goddess.
Devnet	Swedish	home of the Danes
Devona	Old English	From the county of Devon.
Devora	Jewish	The bee, an industrious woman.
Devorah	Jewish	The bee, an industrious woman.
Devore		The bee, an industrious woman.
Dextra	Latin	Skilful, dexterous. The feminine form of Dexter.
Dharmista	Hindu	
Diamanta	French from Latin	Adamant, like a diamond.
Diana	Latin	The divine one. The goddess of hunting and the moon in Roman mythology.
Diane	French	The divine one. .
Dianne		The divine one. .
Diantha	Greek	A divine flower.
Dianthe		Flower of the Gods.
Diarria	Greek	Didi
Dido	Greek	The name of a queen of Carthage.
Didrika	Teutonic	The people's ruler.
Diella	Latin	worships god
Dierdre	Celtic	young girl, one who rages, broken-hearted
Dietlinde	German	
Dieuwertje	unknown	
Diki	Tibetan/Sherpa	Healthy and wealthy.
Dikranouhi	Armenian	queen
Dilek	Turkish	
Dillian	Latin	worshipped one
Dilys	Welsh	True, steadfast.
Dimity	Greek	From the cotton material.
Dina	Irish Gaelic	From the name Dean. Latin: A soldier. Tuetonic: Merciful.
Dinah	Hebrew	Judgment. A biblical name.
Dione	Greek	A lover of wine. From Dionysus, the mythological God of wine and drama. A boy or girl's name.
Dionne		The divine one. .
Dionyza	Latin	From Shakespeare's play Pericles.
Dirran	Arabic	
Disa	Greek	Double.
Dita		The lost one.
Diva	Latin	A goddess.
Divya	Hindu	heavenly, brilliant
Dixie	French	The tenth. Also a girl from the American south.
Dobrila	Slavonic	Kind, good.
Dodie	Hebrew	Beloved. Also see Dorothy.
Doe	unknown	Dee Dee, Didi
Dohna	Tibetan/Sherpa	A female deity.
Dolkar	Tibetan/Sherpa	The name of a Buddhist Goddess.
Dollie		The gift of God. Also see Dora and Theodora.
Dolly		The gift of God. Also see Dora and Theodora.
Dolores	Spanish	Sorrow. Derived from the seven sorrows of the Virgin Mary.
Dominga	Spanish	Sunday
Dominica	Latin	Belonging to the lord. The feminine form of Dominic.
Dominique		Of God.
Donalda	Scottish Gaelic	The ruler of the world. The feminine form of Donald.
Donata	Latin	Given by God, a gift.
Doneen		
Donella		The ruler of the world. The feminine form of Donald.
Donelle		The ruler of the world. The feminine form of Donald.
Donla	Irish Gaelic	The brown lady.
Donna	Italian	A lady. A short form of Madonna.
Dooriya	English	the sea
Dora	Greek	A gift. Originally a short form of Dorothy and Theodora, but now also used as an independent name.
Dorcas	Greek	A gazelle, a doe. Also see Tabitha.
Dore	French	Golden.
Doreen		A gift. Originally a short form of Dorothy and Theodora, but now also used as an independent name.
Doria	Greek	place name
Dorinda	Greek	gift of god, beautiful one
Doris	Greek	A woman from Doria, or from the ocean. A Greek goddess of the sea.
Dorota	Greek, Spanish	God's gift
Dorothea	Dutch	The gift of God. Also see Dora and Theodora.
Dorothy	Greek	The gift of God. Also see Dora and Theodora.
Dot		The gift of God. Also see Dora and Theodora.
Dotty		The gift of God. Also see Dora and Theodora.
Douce	French	Gentle, sweet.
Dova	Teutonic	Peace, a dove.
Dreama	Greek	joyous music
Drew	Celtic	Courageous. A boy or girl's name.
Drina	Spanish	helper and defender of mankind
Drisana	Hindu	daughter of the sun
Dristi	Hindu	sight, a form of the Devi
Druella	Teutonic	An elfin vision.
Drusilla	Latin	From an old Roman family name.
Druti	Hindu	
Duana	Irish Gaelic	A little dark maiden.
Duena	Spanish	A chaperone.
Dulce		Sweet.
Dulcea		Sweet.
Dulcie	Latin	Sweet.
Dulcina		Rose.
Dulcinea		Sweet.
Durga	Sanskrit	Unattainable. A mythological Hindu goddess.
Dusana	Czech	A spirit, a soul.
Dusty		Warrior. Feminine form of Dustin.
Dyan		The divine one. The goddess of hunting and the moon in Roman mythology.
Dyana		The divine one. The goddess of hunting and the moon in Roman mythology.
Dyani	Native American	A deer.
Dyanne		The divine one. .
Dymphna	Irish Gaelic	A fawn.
Dyna	Greek	Powerful. Also see Dinah.
Dysis	Greek	sunset
Dysthe	Greek	
Eartha	Old English	Of the earth.
Easter	Old English	From the holiday.
Ebba	Old English	From the rich fortress.
Ebere	African	mercy
Eberta	Teutonic	Bright, brilliant.
Ebony	Greek	A black wood.
Ebrel	Cornish	From April, the first month in the Roman calendar, and the beginning of spring. Cornish form of April.
Echo	Greek	A repeating round. The name of a nymph in Greek mythology.
Eda	Old English	Rich, prosperous.
Edalene		Noble, King.
Edaline		Noble, King.
Edana	Gaelic	Fiery.
Edda	Old English	rich
Edeline	German	Noble and kind. Also see Adele.
Eden	Hebrew/Old English	Hebrew: The place of pleasure (from the Garden of Eden). Old English: A bear cub. A boy or girl's name.
Edena	Hawaiian	Renewal, rejuvenation.
Edeva	Old English	A rich gift.
Edina		A prosperous friend. The feminine form of Edwin.
Edith	Old English	Prosperity, or a gift.
Edlyn	Old English	A noble maiden.
Edme	Scottish	Protector. A variation of Esme, and the feminine form of Edmund.
Edmonda	Old English	A rich protector. The feminine form of Edmund.
Edna	Hebrew	Renewal, rejuvenation.
Edolie	Old English	noble
Edrea	Old English	Prosperous, powerful.
Edria	Hebrew	mighty
Edwerdina	Old English	A prosperous guardian. The female form of Edward.
Edwina	Old English	A prosperous friend. The feminine form of Edwin.
Edythe		Prosperity, or a gift.
Eerin	Aboriginal	A small grey owl.
Effie		Of good reputation.
Effy		Of good reputation.
Efia	Ghanese	born on tuesday
Efrosini	Hebrew	a fawn or a bird
Efterpi	Greek	pretty in face
Egeria	Greek	A wise adviser.
Eglantine	Old French	A flower name, from Old French.
Eiddwen	Welsh	The beloved fair one.
Eileen	Irish Gaelic	The light of the sun. The Irish form of Helen.
Eilis	Irish Gaelic	A form of Elizabeth, meaning consecrated to God.
Eir	Old Norse	The name of the goddess of healing.
Eira	Welsh	Snow.
Eireen		Peace.
Eirena		Peace.
Eirene		Peace.
Eirian	Welsh	Silver.
Eirwen	Welsh	As white as snow.
Eithne	Irish Gaelic	Ardent, fiery. Also see Aine and Ena.
Ekala	Aboriginal	A lake.
Ekaterina	Russian	Pure. From the name Catherine or Katherine. Also used as an independent name.
Ekta	Hindu	
Ela	Old English	Elfin, a fairy maiden. Also a diminutive of Eleanor, Elizabeth, Ellen and Helen.
Elaine	English	From the Old French form of Helen.
Elana		A tree.
Elanora	Aboriginal	A home by the sea.
Elata	Latin	Exalted, of high birth.
Elberta		Noble and illustrious. The feminine form of Albert.
Elbertina		Noble and illustrious. The feminine form of Albert.
Elbertine		Noble and illustrious. The feminine form of Albert.
Elda	Italian	A battle maiden.
Eldora	Spanish	The golden one.
Eleanor	Old French	The light of the sun. A form of Helen.
Electra	Greek	Brilliant.
Elena	Italian/Portuguese/Spanish	The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Eleni	Greek	The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Elenna		A tree.
Eleora	Hebrew	the lord is my light
Elephteria		Freedom.
Eleri	Welsh	The name of a river.
Elexus	Latin	Elex, Lex, Lexus
Elfreda		Noble and ready. Feminine form of Alphonse.
Elga		The holy one.
Eliane	Latin	From the Greek word for sun.
Elida		The little winged one.
Elie		The light of the sun. A form of Helen.
Elina	Greek, Hindu	pure, intelligent
Elinor		The light of the sun. A form of Helen.
Elinore		The light of the sun. A form of Helen.
Eliora	Hebrew	God is my light.
Elisa	Spanish	dedicated to God
Elisabeth		Consecrated to God.
Elise	French	Consecrated to God. Also see Isabel and Lisa.
Elisha	Hebrew	God is my salvation. The successor of Elijah in the Bible. A boy or girl's name.
Eliska	Czech	truthful
Elissa	Greek	Consecrated to God. Also see Isabel and Lisa.
Elita	Old French	The little winged one or the chosen one.
Elizabeth	Hebrew	Consecrated to God. A name from the Bible. Also see Isabel and Lisa.
Elke		The defender, or helper of mankind. Form of Alexandra.
Ella	Old English	Elfin, a fairy maiden. Also a diminutive of Eleanor, Elizabeth, Ellen and Helen.
Ellamay		A combination of Ella and May.
Elle	French	She, a woman.
Ellema	African	Milking a cow.
Ellen		The light of the sun. Also see Eileen, Elaine, Eleanor and Ellen.
Elli		The light of the sun. From the name Alice, Eleanor, Ella, Ellen and Helen. Also used as independent names.
Ellice	Greek	Jehovah is God. The feminine form of Elias.
Ellie		The light of the sun. From the name Alice, Eleanor, Ella, Ellen and Helen. Also used as independent names.
Ellin	Aboriginal	To move.
Ellinor		The light of the sun. A form of Helen.
Elly		The light of the sun. From the name Alice, Eleanor, Ella, Ellen and Helen. Also used as independent names.
Elma	Greek	Pleasant, amiable.
Elmas	Armenian	A diamond.
Elmira	Old English	Noble.
Elodia		Wealthy, prosperous.
Elodie		Wealthy, prosperous.
Eloise	Teutonic	Healthy.
Elouera	Aboriginal	From the pleasant place.
Elrica	German	The ruler of all.
Elsa		A form of Elizabeth, meaning consecrated to God.
Else	Hebrew	concecrated to god
Elsie		Consecrated to God. Also see Isabel and Lisa.
Elspeth		Consecrated to God. Also see Isabel and Lisa.
Eluned	Welsh	A waterfall.
Elvan	Turkish	
Elvina	Old English	The friend of the elves.
Elvira	Latin/Teutonic	Latin: The fair one. Teutonic: A true stranger.
Elysa		Consecrated to God. Also see Isabel and Lisa.
Elyse		Consecrated to God. Also see Isabel and Lisa.
Elyshia		The light of the sun. A form of Alice, but often used as an independent name.
Elysia	Latin	Blissful.
Elyssa		Consecrated to God. Also see Isabel and Lisa.
Elzira	Portuguese	Form of Elizabeth, meaning consecrated to God.
Ema	Polynesian	beloved
Emalia	Latin	flirt
Emanuel		God is with us.
Emanuela	Hebrew	god is with us
Emanuele		God in humankind.
Ember	Old English	smoldering remains of a fire
Emelda		A floret.
Emelia		Industrious. Also see Amelia.
Emer	Irish Gaelic	A traditional name.
Emerald		A gemstone name.
Emilia		Ambitious, industrious.
Emilie		Ambitious, industrious.
Emily	Teutonic	Industrious. Also see Amelia.
Emina	Latin	A noble or lofty maiden.
Emma	Teutonic	The healer of the universe.
Emmanuel	Hebrew	God is with us. A boy or girl's name.
Emmanuelle	Hebrew	God is with us. Feminine form of Emmanuel.
Emmet	Old English	Industrious. A boy or girl's name.
Emmett		Truth.
Emmuna	Hebrew	
Emmylou		From Emily and Louise. Emily - Industrious. Louise - A famous warrior maiden.
Emogen	Celtic/Latin	Celtic: A girl or maiden. Latin: The image of her mother.
Emogene	Celtic/Latin	Celtic: A girl or maiden. Latin: The image of her mother.
Ena	Irish Gaelic	Ardent. A variation of Eithne.
Enda	Irish Gaelic	Bird-like. A boy or girl's name.
Endocia	Greek	Of unquestionable reputation.
Endora	Hebrew	A fountain.
Engelberta	Teutonic	A bright angel.
Engracia	Spanish	Graceful.
Enid	Celtic	A pure soul.
Ennor	Cornish	From the boundary. A boy or girl's name.
Enola	Native American	magnolia
Enora	Greek	Light.
Enrica	Italian/Spanish	The ruler of the home. A feminine form of Henry. Also see Harriet.
Enya	Irish	
Enye	Yiddish	grace
Enys	Celtic	From the island. Also see Innes.
Eranthe	Greek	A flower of spring.
Erasma	Greek	amiable
Erena		Peace.
Erene		Peace.
Erianthe	Greek	sweet as many flowers
Erica	Old Norse	A powerful ruler. The feminine form of Eric.
Erika	German/Scandinavian	A powerful ruler. The feminine form of Eric.
Erin	Irish Gaelic	From Ireland. A boy or girl's name.
Eris	Greek	The goddess of discord.
Erlina	Celtic	girl from Ireland
Erline	Old English	A noblewoman. The feminine form of Earl.
Erma	Teutonic	A maiden of the army. The feminine form of Herman. Also See Armina.
Ermine	Old French	From the name of the fur.
Ernestine	Teutonic	Serious, earnest. The feminine form of Ernest.
Erwina	Teutonic	An honourable friend.
Eryn	Irish Gaelic	From Ireland.
Erzsebet	Hebrew	devoted to God
Eskarne	Spanish	merciful
Esme		Protector. The feminine form of Edmund.
Esmeralda	Spanish	Spanish expression meaning Emerald.
Esmerelda		Protector. The feminine form of Edmund.
Esperance	Latin	Hope.
Esperanza	Spanish	hope
Esta	Italian	From the east.
Estefania	Spanish	A garland or crown. The feminine form of Stephen.
Estelle	French from Latin	A star. Also see Esther and Stella.
Ester	Spanish	A star. Also see Estelle, Hesper and Stella.
Esther	Hebrew	A star. Also see Estelle, Hesper and Stella.
Etain	Irish	Shining, bright.
Etana	Hebrew	Determination.
Etania	Native American	wealthy
Eternity		Everlasting.
Ethel	Teutonic	A noble maiden.
Ethelda		Noble in counsel.
Etienette	French from Greek	A garland or crown. Feminine form of Etienne. Also see Stephanie.
Etsu	Japanese	Delight.
Etta		The ruler of the home. A feminine form of Henry. A4, See Harriet.
Ettie		The ruler of the home. A feminine form of Henry. A4, See Harriet.
Euclea	Greek	Glory.
Eudocia		Of unquestionable reputation.
Eudocie		Of unquestionable reputation.
Eudora	Greek	A wonderful gift.
Eugenia	Greek	Noble, wellborn. The feminine form of Eugene.
Eulalia	Greek	The well-spoken one.
Euna	Scottish	Also see Juno.
Eunice	Greek	Victorious.
Euphemia	Greek	Of good reputation.
Euphrasia	Greek	Joy, delight.
Euphrosyne	Greek	joy
Eurwen	Welsh	Fair.
Eurydice	Greek	The goddess of the underworld in Greek mythology.
Eustacia	Greek	Fruitful. The feminine form of Eustace.
Eva		Life-giving. Also see Evelyn.
Evadine	Greek	from greek mythology
Evadne	Greek	Fortunate.
Evana	East European	God is gracious. .
Evangelia	Greek	one who brings good news
Evangeline	Greek	The bearer of good news.
Evania	Greek	Peaceful, tranquil.
Evanthe	Greek	flower
Eve	Hebrew	Life-giving. Also see Evelyn.
Evelina	Hebrew	lifegiving
Evelyn	English	From an old surname, but also related to Eve. A boy or girl's name.
Everild	Old English	The slayer of the boar. A boy or girl's name.
Everilda		The slayer of the boar.
Evette		From the name Yvonne. The feminine form of Yves. The little archer.
Evie		Life-giving. Also see Evelyn.
Evita	Spanish	Life-giving. Also see Evelyn.
Evonne	French/Greek	French: An archer. Greek: The wood of the Yew tree.
Ewa	Polish	Life-giving. Also see Evelyn.
Eyota	Native American	The greatest.
Fabia	Latin	A bean grower. Feminine form of Fabian.
Fabiana	Latin	bean
Fabienne	French	Bean grower.
Fabiola	French	Bean grower.
Fabrianne	Latin	Resourceful, or a craftswoman.
Fadila	Arabic	Generous and distinguished.
Fae	English from Old French	A fairy or magical creature. Also a diminutive of Faith.
Faiga	Germanic	a bird
Faina	Anglo-Saxon	joyful
Fainche	Celtic	saint's name
Faine	Old English	Joyful.
Fairlee	Fairli	
Fairley	Old English	A clearing in the woods. A boy or girl's name.
Fairuza	Turkish	turquoise
Faith	English	Trusting in God, having faith. Also see Fidela.
Faiza	Arabic	Victorious.
Faizah	African	victorious
Fala	Native American	crow
Falda	Icelandic	With folded wings.
Falguni	Hindu	
Fallon	Irish	A leader. A boy or girl's name.
Fanchon	French	From France, or a free woman. The feminine form of Francis.
Fannie		From France, or a free woman. The feminine form of Francis.
Fanny		From France, or a free woman. The feminine form of Francis.
Fantasia	Latin	Asia, Fanta
Fantine	French	childlike
Farah	Arabic	Happiness. Also see Farrah.
Farfalla	Italian	butterfly
Farica		A peaceful ruler. The feminine form of Frederick.
Farida	Arabic	Unique.
Fariishta	Urdu	angel
Farika		A peaceful ruler. The feminine form of Frederick.
Farley	Old English	From the fern clearing. A boy or girl's name.
Farrah	Old English	Beautiful.
Fascienne	Latin	black
Fatima	Arabic	A woman who abstains, or weans a child. Also - a daughter of the prophet Mohamed.
Fatin	Arabic	captivating
Faustine	Latin	The fortunate one.
Fawn	Old French	A young deer.
Fawne	Old French, Latin	young deer
Fay	English from Old French	A fairy or magical creature. Also a diminutive of Faith.
Faye		Fairy or elf.
Fayina	Russian	free one
Faylinn		Fairy kingdom.
Fayme	Latin	Of high reputation, renowned.
Fayna		Joyful.
Fayne		Joyful.
Fayre	Old English	Fair.
Felcia	Polish	lucky
Felda	Teutonic	From the field.
Felice	Italian	Fortunate, happy.
Felicia		Happiness.
Felicite	French	fortunate
Felicity	Latin	Lucky, fortunate. The feminine form of Felix.
Felipa	Spanish	A lover of horses. The feminine form of Philip.
Femi	African	love me
Fenella	Irish	The white or fair shouldered one.
Fennella	Irish	The white or fair shouldered one.
Feodora	Russian	The gift of God. The feminine form of Theodore. Also see Dorothy.
Fern	Old English	Fern-like. From the plant name.
Fernanda	Teutonic	Prepared for the journey. A traveller or adventurer. The feminine form of Ferdinand.
Feronia	Latin	A mythological goddess.
Fidela	Latin	Faithful. Also see Faith.
Fidelia	Spanish	Faithful.
Fidelima	Irish Gaelic	The name of a saint.
Fifi		God shall add. The feminine form of Joseph.
Filberta		Very brilliant.
Filbertha		Very brilliant.
Filipina	Polish	Lover of horses.
Filippa	Italian	A lover of horses. The feminine form of Philip.
Filomena		A lover of the moon.
Filomene		A lover of the moon.
Findabhair	Gaelic	Finn
Finola		The white or fair shouldered one.
Finvarra	Gaelic	
Fiona	Scottish Gaelic/Irish Gaelic	Scottish Gaelic: The fair one. Irish Gaelic: A vine.
Fionavar	Gaelic	
Fionn	Celtic	white, fair
Fionola		The white or fair shouldered one.
Fiorella	Italian	A little flower.
Fiorenza	Italian	flower
Firaki	Hindu	
Flanna	Gaelic	Red-haired.
Flavia	Latin	The golden-haired one.
Fleta	Old English	swift, fleet
Fleur	Old French	A flower. Also see Flora.
Flo		Blossoming, flourishing.
Flora	Latin	A flower. After the Roman goddess of flowers and the spring. Also see Fleur.
Floramaria		Flower of Mary.
Florence	Latin	Blossoming, flourishing.
Floria		Flowering.
Floriane		Flowering.
Florizel		From Shakespeare's play Winter's Tale.
Flos	Norse	chieftain
Flower		Blossoming, flourishing.
Floy	Old German	
Fola	African	honour
Fonda	Latin	Affectionate.
Fortuna	Latin	The fortunate one.
Fosetta	French	The dimpled one.
Fotini	Greek	Light.
Fran		From France, or a free woman. The feminine form of Francis.
Frances	Latin	From France, or a free woman. The feminine form of Francis.
Francisca	Spanish	From France, or a free woman. The feminine form of Francis.
Freda		A wise counsellor. From the name Alfreda, Frederica, Winifred.
Frederica	Teutonic	A peaceful ruler. The feminine form of Frederick.
Frederika	Old German	peaceful ruler
Fredrica		Peace.
Freya		A lady. The goddess of love in Scandinavian mythology.
Freyde	Yiddish	Joy.
Frida		A wise counsellor. From the name Alfreda, Frederica, Winifred.
Frieda		A wise counsellor. From the name Alfreda, Frederica, Winifred.
Fritzi	German	A peaceful ruler. The feminine form of Frederick.
Fronde	Latin	A leaf of the fens.
Fruma	Yiddish	one who is religious
Fuensanta	Spanish	a holy fountain
Fujita	Japanese	field
Fulvia	Latin	Tawny haired. The name of the wife of Mark Antony.
